Timestamp,Discord Name,Your Display Name,Anniversary Message Submission,Art Submission,Your Takodachi's Name,Your Takodachi's Description,Your own Takodachi!,Submission and Surprise,Select your 1st Favorite Stream,Message for your 1st Favorite Stream,Select your 2nd Favorite Stream,Message for your 2nd Favorite Stream,Select your 3rd Favorite Stream,Message for your 3rd Favorite Stream
8/14/2025 13:21:26,bolt_usain,Bolt,"The time's really flies when you having fun huh? Crazy to think it's been 5 years already but we still are miraculously preserved and are ready for the new journey ahead,Happy Anniversary!!!!",,Bolt,"Categore:Merch consumer 
Attributes: Sleepy / small

""A Takodachi that found his happiness in collecting all artifacts that have connection to the Priestess, proseeds to spend a huge amount of his income on artifacts so he has to work a lot to cover it,compensates his lack of sleep with energy drinks

Class: Cannon ball
Attributes: Lazy / Big

""Lazy Takodachi that grew so big he can work as cannon ball, After the shot refuses going back to base so others tako's have to pick him up back",,"Website Only Submission, Stream messages submissions for the 3rd surprise",,"The stream where this journey began, it's been real pleasure to witnessing the growth of legendary Ninomae Ina'nis from the shy introvert into real party animal, I hope this journey continues being filled with laugh and joy and getting more unforgettable steams and collabs
Thank you Ina and Happy anniversary!!!!
 ",,,,
8/15/2025 9:31:32,Kodithehoomanshark🥐🌙,Kodithehoomanshark🌙🥐,"Oh hi 
Happy anniversary Inya
- Kodi 2025
I hereby praise your cuteness thats all hopenyou enjoy your anniversary and stay hydrated of else the tentacles would dry up and turn to crispy tako chipsXD🦈. From your super cute and adorable fan the silly shark hehe( =w= )",,Takohoomanshark🐙🦉🦈,"Category:Tako commander of the second batalion takochi
Attributes:Strong/squishy/stealthy/cute/loyal/dumb/strong swimmer/water control/sword master

A loyal follower of the Priestess, this Tako is a very high ranking tako in the tako nation, it is said that only ten Tako commanders are left in the nation. THERE WERE ORIGINALY 100 OF THEM BEFORE THE GREAT Rampage In Atlantis 90 Of Them We're WIPED OUT DUE to the power gap between the Takos and the Priestess rampaging form. 

Class:batalion commander
Attributes: smol and cute",,"Website Only Submission, Artwork submission for the 1st surprise, Takodachi submission for the 2nd surprise, Takodachi submission for the Takogacha minigame, Stream messages submissions for the 3rd surprise",【Minecraft】The Search for Bradley --> 2020-10-14T00:13:44Z,"My favorite stream was when ina played gta, she bought a car it was purple and was called peanutXD",【Minecraft】 Today We Fish (Hopefully) #ホロ鯖ハードコアマイクラ --> 2024-05-15T13:09:53Z,I dont remember whats in this stream but im guessing its With Goobs or the other myth,【CHAT】IT'S MY BIRTHDAY!!!! (in JST) --> 2025-05-20T02:18:26Z,Its the Priestess birthday🥳🎉🎊🎉🎉🎊🎉🎊🎊🎉🎉🐙🐙🐙
8/20/2025 10:35:43,yato_tako,Yato Tako,"Happy 5th Anniversary Ina, those 5 years passed in the blink of a eye. Thanks you for always being there to motivate and entertain me. Looking forward to another WAHderful year",,Yato Takoyaki,,https://drive.google.com/open?id=180B1ogQSI3z0VbgKKMQ_qVt2SR76Wz3Y,"Website Only Submission, Takodachi submission for the 2nd surprise, Takodachi submission for the Takogacha minigame, Stream messages submissions for the 3rd surprise",【3D LIVE】『Neverland Paradox』 Ninomae Ina'nis Birthday Live 2023 #INAinaNeverland --> 2023-12-10T01:57:25Z,This moment when all of EN sing Gunjou and colors started to come back was just peak,【COLLAB】 MYTH 3RD ANNIVERSARY!!!! #Myth3YearRelay --> 2023-09-14T00:05:31Z,"Myth collabs are always are fun and silly, could put any of them here, they are all special",【Hollow Knight】 Boin 【#5】 --> 2021-02-19T23:54:25Z,"Whole playthru was special, but i will never forget when Ina encountered the Grub mimic "
8/23/2025 4:07:31,hilonero10,HiloNero,"I guess it's already been 5 years since I fell down this rabbit hole. No need to send for help though. I like it here (totally not Stockholm). 

Your stream has been one of my greatest comfort sources in this world. I can't thank you enough for your effort and I hope you're always in fine health.

Happy 5th anniversary and cheers for the millennium to come 🍷",https://drive.google.com/open?id=11W6tTCr-dA8_fbWVDymeJp-3xHH5fZuJ,,"Class: Swordbug
Attributes: Hidden / Sharp

* A mysterious tiny Takodachi whose name and appearance are only whispered among the shadows. Their stories are scattered across the world, each recounting a tiny piece of the road that they travel. The most common detail between all of them is that they always prominently use a sharp nail-like weapon and wear a mask akin to a crescent moon. However, recently, a new prophecy was revealed detailing about the Tako's upcoming appearance...",https://drive.google.com/open?id=11PzeVWsZGmR7O9uBzbN50-7J8gt8dwkL,"Website Only Submission, Artwork submission for the 1st surprise, Takodachi submission for the 2nd surprise, Takodachi submission for the Takogacha minigame",,,,,,
8/24/2025 9:48:51,bandainenzai,BandaiNenzai,"WAH! Happy 5th Anniversary Ina! I adore you and all the rest of Myth and while there have been some changes, I will continue cheering you all on for the future. 💜",,,"Class: Procrastinator
Attributes: Clever / Dumb",,"Takodachi submission for the 2nd surprise, Takodachi submission for the Takogacha minigame, Stream messages submissions for the 3rd surprise",【CALL OF CTHULHU】 Cthulhu is Spelt with Two H --> 2020-09-18T01:08:47Z,"I missed a few of Ina's post-debut streams but I saw a clip of this one. Ina was sharing how people had commented that her streams had inspired them to get back into drawing and their hobbies. Her emotional response, seeing how glad she was that a reason for her becoming a VTuber was validated, seeing how vulnerable she was but also seeing her kindness on display, it made me want to support her.",【3D LIVE】『EVERMORE』 Ninomae Ina'nis Birthday Live 2025 #EvermoreLIVE --> 2025-05-21T03:11:17Z,"Watching EVERMORE really drove home how much Ina has grown. The whole live was a charming spectacle with creative storytelling, perfect theming and the show stealer, Ina's singing. She's progressed so far and I was entranced with all her performances, especially Kuroiuta (クロイウタ). Truly, she is an idol.",,
8/24/2025 15:23:59,dafluid,Fluid,"Hard to believe it's been 5 years already, but they've sure been a blast! Happy anniversary, and great job bringing us constant smiles all this time! Wishing you many more exciting and fulfilling years to come! I'll be here all the way!",,74k0d4chi,"Category: Software Glitch
Attributes: Introverted / Grainy

""Surviving solely in digital spaces, this elusive Tako may be spotted wherever software produces unintended results. Prefers to live in places where its shenanigans cause delights instead of concern, like Bethesda games. Finding one at your workplace, however, is a sign of bad luck.""",https://drive.google.com/open?id=1FtUGFuOqvZzku1upnh1H0VpVq5zub59p,"Website Only Submission, Takodachi submission for the 2nd surprise, Takodachi submission for the Takogacha minigame, Stream messages submissions for the 3rd surprise",【Hollow Knight】 Hmm Hmm Hmm Hmm HMMM 【#2】 --> 2021-02-10T00:56:02Z,"Her tenacity in working to defeat the Mantis Lords was a pleasure to watch. Her ""go next"" attitude is inspiring and contagious.",【DRAWING】 Oh Nyo --> 2021-10-15T21:26:40Z,"Smol Ina is always adorable, and her forays into VR were a delight to watch. Also, her artistic skills were still impressive even with the extra dimension.",【#holoGTA】 This Is Day 6 (No Day 5) But the 5th Stream....PEANUTS 【#5】 --> 2024-09-22T16:19:44Z,"The whole HoloGTA arc was fantastic! So many good moments, like her ace helicopter skills, being the perfect hostage, discovering the ducky cart, drifting, Peanuts, gambling... Just a heap of great streams, and at a reasonable EU time slot to boot. I chose #5 as the representative for the iconic disappearing act in the end against IryS."
8/26/2025 18:43:46,@ryosenberg,takomate rin,"happi anniversary ina! thank you for 5 years of joy and hanging out with us, and thank you... for kick starting my art journey!",https://drive.google.com/open?id=1Hbnoj56knAnyR-WeVZQdVEdBz9j2wutQ,,,,"Website Only Submission, Artwork submission for the 1st surprise, Stream messages submissions for the 3rd surprise","【Half-Life 2】Rise and shine, Mister Freeman --> 2020-10-27T22:08:29Z",It's the first stream I ever was able to attend ,【DRAWING】Let's Draw Amelia Pt.2 !! --> 2020-09-24T00:22:18Z,"best stream to draw ame with
",,
8/26/2025 18:45:19,Synnrad,Synnrad AKA Eric,Happy Anniversary Ina! So happy to celebrate another year of WAHderful times with you! I hope you get some nice treats and sleep when you get some down time. ,,Synnrad AKA Eric,"Category: Computer Enjoyer/Baker
Attributes: Long / Indecisive

""Devout follower of the Priestess, this Tako doesn't always know what to focus on aside from watching the Priestess when she streams. Can bake many types of treats and is also a good troubleshooter for tech. It yearns to be more social at times, but its battery can drain fast.""",,"Website Only Submission, Takodachi submission for the 2nd surprise, Stream messages submissions for the 3rd surprise",【NieR:Automata】 THIS CAN (NOT) CONTINUE 【#1】 --> 2021-04-30T00:57:42Z,One of my favorite games of all time and watching you go through it all again was a treat! It was so much fun watching chat see how insane the story is for those who hadn't played before. THIS CANNOT CONTINUE! BECOME AS TAKO!,【TTRPG】 HUNTERS PARTY HARD Pt.2 --> 2021-09-22T01:42:08Z,Myth Breakers was so much fun to watch. Everyone getting into their characters and having fun is always great to see for TTRPG's. I hope we see Yuul B. Alright again some day.,【DRAWING】 Let's Draw!! --> 2020-09-16T01:12:20Z,This was the second stream I watched of yours. Seeing your art process and how good you were while also being so comfy and chill made me a fan and I'm glad I stayed around!
8/26/2025 19:17:37,namelesstheythem,Nameless (They/Them),"I've been pretty happy watching you thus far. I've never been able to monetarily support you, but maybe that's fine. Maybe just showing up to cheer you on, hang, chill, and celebrate your triumphs, both small and big, was all I needed to do, and I hope that's enough for you. You've been a bright spot in my life in general, so bright in fact, you got me to pick up drawing and I hope that one day, I'll be able to send you something your way. I'll try my best, because you're trying your best too.",,Ari AKA Nameless,"Category: Knowledge Devourer
Attributes: resilient / tri-eyed

""This tako is in a constant evolution, gathering info and increasing their abilities, all with the express purpose of maximizing cookie consumption. At present, they are very limited, but that has never stopped from trying their best in the face of everything.""",,"Website Only Submission, Takodachi submission for the Takogacha minigame, Stream messages submissions for the 3rd surprise",【Hollow Knight】 Swoosh Swoosh 【#1】 --> 2021-02-05T23:48:07Z,"It was the first ever VOD I watched from Ina's archived, and it unknowingly sent me on the path of deciding that Ina is my oshi. Though, that decision only solidified a couple VOD playlists later.",【Elden Ring】 TODAY 【SPOILER WARNING】【#25】 --> 2024-06-19T02:24:09Z,I watched my priestess become Elden Lord. What more could I ask for?,『TEMARI』 - Ninomae Ina'nis --> 2025-03-13T23:00:07Z,"The moment Ina released this song, and then letting it slip that us takos making theories about the MVs she makes is content for her - a very rare opportunity to return the favor - sent me on a bit of an obsessive episode of wracking my brain, trying to put as much of the lore I was aware of under a microscope to try and form a theory about what the lore is. I regret nothing."
8/27/2025 13:44:49,Tornhalo56,Tornhalo,"Happy 5th Anniversary Priestess!! All of us takos would be in takoyaki without you! Here's to world domination as we head into another year!!!!
-Tornhalo",,Tornhalo,"Category: Story Teller
Attributes: Friendly / Plump

“This Tako is known to hold many stories it collected as it wanders the void. It likes to share its stories with any and all that wish to hear them. Be it other takos or friendly humans that encounter it.”
",https://drive.google.com/open?id=1qmUMmTCerq5dxBtwZJtrjz_3DQgFQ-JB,"Website Only Submission, Takodachi submission for the 2nd surprise, Takodachi submission for the Takogacha minigame, Stream messages submissions for the 3rd surprise",【POKEMON VIOLET】I DIDN'T KNOW THIS DAY WOULD ARRIVE 【#12】 --> 2025-06-27T00:09:28Z,I can't tell you how hard i laughed when Chocobi ran for the hills.,【AmiAmi】July Special Stream with...Oreno...?! Flare?!!? --> 2025-07-21T03:12:23Z,Any time Ina is on stream with Flare there chemistry makes my heart melt.,,
8/27/2025 14:55:39,yato_tako,Yato TakoTaco,"Happy 5th Anniversary Ina, those 5 years passed in the blink of a eye. Thanks you for always being there to motivate and entertain me. Looking forward to another WAHderful year",,Yato TakoTaco,,,"Website Only Submission, Stream messages submissions for the 3rd surprise",【HOLOEN COLLAB】 3rd Full Member Collab!!! #hololiveEnglish #holoMYTH --> 2020-09-27T05:10:28Z,"It was hard for me to choose one, every Myth collab was special, fun and silly. Always had fun watching them",【3D LIVE】『Neverland Paradox』 Ninomae Ina'nis Birthday Live 2023 #INAinaNeverland --> 2023-12-10T01:57:25Z,When Ina was singing Gunjou and all of HoloEN joined while colors started to come back . It was very special and magical moment,【Hollow Knight】 Boin 【#5】 --> 2021-02-19T23:54:25Z,"Every Hollow Knight stream was special, but i will never forget when she encountered the Grub Mimic for the first time"
8/28/2025 7:52:55,hpgbproductions,hpgbproductions,"here's to many more WAHnderful mornings, afternoons, and evenings",https://drive.google.com/open?id=1vxlT13OW70GtzZypJOgIRSfEWAFn4RIH,,,,"Website Only Submission, Artwork submission for the 1st surprise",,,,,,
8/29/2025 4:49:38,nowaruart,NowaruArt,"Happy Anniversary Ina! I wish you healthy, happiness, and full of spirit! 5 years is a long journey, yet you continue showing your cuteness, amazing artwork, and your beautiful singing! Thank you for being with us for 5 years and counting!",https://drive.google.com/open?id=1VZ3rz9L8jQscWHme26Rf90Og2zIOdzYk,Cattodachi,"Category: Cat
Attributes: UwU / Fuzzy

One of the Takodachi that is very different from the others, with pointy flaps and a tail. This Tako is very similar to Feline / Cat, which is why this Tako is named ""Catto""dachi! Cattodachi is very shy at first, but once trust is gained, this Tako loves staying close to them. Cattodachi also loves drawing and is always trying its best to get attention from its Priestess by showing off its drawing skills and improvements!",https://drive.google.com/open?id=1jy25oUxgf5zw-u-NDjm5FZxSHulpt_cH,"Artwork submission for the 1st surprise, Takodachi submission for the 2nd surprise, Takodachi submission for the Takogacha minigame",,,,,,
8/29/2025 16:00:48,Endactam,Endactam,"5 years... half a decade.  We are here.  You are here.  We are happy.  It doesn't get much better than that.  Can't wait to see what you come up with in 2026.  I do miss smol Ina though, her gremlin energy is quite unique.",,,"Class: Wrench user.  Attributes: Green, standard tako shape.  *This tako takes things that are  not supposed to work together and makes them function as one.  Machines are easy. If they are broken fix them, if they are too slow upgrade them.  People are difficult.",https://drive.google.com/open?id=1JtU_Goo7F-UNpR8bPgkHwXVZ1xCLT44O,"Website Only Submission, Takodachi submission for the 2nd surprise, Takodachi submission for the Takogacha minigame, Stream messages submissions for the 3rd surprise",【COLLAB】 TAKING DOWN CHAOS WITH @holoen_ceciliaimmergreen 【STRANGER OF PARADISE】 ※SPOILER WARNING --> 2025-01-16T00:27:15Z,CHAOS!,【KARAOKE】 WWEEEEEEEEeeeeeeeee --> 2023-06-18T22:24:34Z,Your version of I beg you is perfect.  I love this song so much.,【CHAT】 It's New Year's Eve!!!! It's Cold Outside... --> 2024-12-31T23:33:09Z,Comfy Ina giggles on New Years eve by the fire
8/29/2025 16:56:29,swordking684,swordking684,Happy Wahniversary,,,,,"Website Only Submission, Stream messages submissions for the 3rd surprise",【MONSTER HUNTER WILDS RELEASE】 LETS GO HUNT!!!!!! ....Also a Special Reveal?! #sponsored --> 2025-03-01T06:12:41Z,We Are Hunting! Love the ,,,,
8/30/2025 0:20:04,so,so,Happy 5th Anniversary! We'll keep supporting you! BAKUSHIN!BAKUSHIN!,https://drive.google.com/open?id=1IiomPt34QRG57Vy_7FQsnLq7JJee20ly,,,,"Website Only Submission, Artwork submission for the 1st surprise, Takodachi submission for the 2nd surprise, Takodachi submission for the Takogacha minigame, Stream messages submissions for the 3rd surprise",【DRAWING】Silent Drawing Stream!!! Fixing Up Old Art! --> 2025-04-27T13:43:37Z,"Drawing is my hobby, so",【3D LIVE】『EVERMORE』 Ninomae Ina'nis Birthday Live 2025 #EvermoreLIVE --> 2025-05-21T03:11:17Z,I was happy because my favorite song was sung,【AmiAmi】July Special Stream with...Oreno...?! Flare?!!? --> 2025-07-21T03:12:23Z,Te-Te-!
