user,icon,message,image
Takodachis,,"Disclaimer: This video was taken at an event from last June, cover corporation no longer accepts new fan organized events ご注意: 去年の映像です、現在ホロライブプロダクトションは海外で実施されるファン主催のイベント開催を許諾していません",lv_0_20250331142431.mp4
Ben Stroomer,,Happy birthday Ina!!!!! Here's to another miraculously preserved year of existence!!!,
,,happy birthday ina!,
Gathog,,"Happy Birthday dear Ina! Wishing you a great day with good health, happiness and lots of cookies :). Thanks for being with us for all these years and hope we can celebrate many more birthdays with you. WAH!",
Bolt,,WAH!! Happy birthday to our best priest!! wishing you a lot of cookies and more monsters to hunt,
,,Happy Birthday Ina !! Wishing you the best and hope to tune into more comfy streams ,
lenyip26,,Happy and WAHnderful birthday to the cutest priestess!,
Luore,,Happy birthday Ina!! [insert happy tako emoji],
sunnyfaller,62.png,"Happy Birthday Ina!
Every year you inspire me to create more art and strive to become better!
I believe that no matter what you do or where you go you'll brighten up everyone around you.
Keep doing what you love and have a wonderful birthday <3",18.png
Gosuto,,"Happy birthday Ina ! Always a pleasure to follow your stream (even if timezone don't help to be always here on live)
Hope you have another great year !
wah~ - A french tako",
Epi,13.png,Wah! Happy Birthday Ina thank you for all the comfy streams <3,
Manny,,"Happy Birthday Ina! Hope you have a great day, thank you for all your hard work! ",
Light Aether,,"Hi Ina, happy birthday, hope it's a good one!",
Milk,70.png,Hello Ina! I want to say thank you very much for streaming and working hard for us! Your streams are so comforting and relaxing to watch. Whenever I feel stressed or depressed I always think of you; then all of my worries fade away! I even bring the Ina plushie to the hospital for comfort 💙 Ily 🥲,76.png
Bubble,,"Dear Ina,
Thank you for always bringing so much joy to us all! Happy birthday and I wish you nothing but the best :) ",
oursencarton,,"Happy 5th birthday !! Your streams always help me through rough times, and even more so this past year, I am glad you're my kamioshi. WAH ! ",
Ari,,"Happy birthday, Ina. You've made very happy ever since I started watching you, and it's only gotten better since, and for that, you have my thanks. As long as you're happy/satisfied doing what you're doing, here's to hopefully a few more years of having fun watching you. WAH.",
Yato Takoyaki,,"Happy Birthday Ina! Thanks for another WAHderful year, world domINAtion getting closer and closer!!!",
Bjorn117,,Inaaaa!!! Happy Birthday! May it be filled with cookies and excitement! I hope you have the best of days! With love from Mexico,
GachaLuck,,"Hey Inaaaaaa, thanks so much for celebrating your 5th birthday with us! I hope you’re doing great and that you’re crushing it this year!",
NKS5,4.png,Happy Birthday Ina WAH! 💜,78.png
Feed,,"Happy birthday Ina!
I can't believe it's already been another year. I hope you continue to have a wonderful time within Hololive and I'm proud of you for everything you've accomplished so far.
You're always an inspiration and I'm so proud to be able to call you my oshi.
Thank you for everything =w=",
Kurasu Kanon,31.png,"Happy birthday Ina! Time went by so fast! Even after all this time, you never stopped being a big inspiration to me! May this special day be your happiest yet!",
Zeik87,14.jpeg,"Happy Birthday Ina , thank you for all the comfy streams , hope you have. WAHndeful comfy day with lots of present that you deserve ",
RealKuro,,Happy Birthday Ina ! We are waiting you in France ♥,
Tojikome Konoe,,Happy Birthday Ina!!! My favorite pun-ful priestess <3!,77.png
